p10_2,p4_1,niv,gra,p4_15,p8_5,p9_9,p11_6_08,p11_6_11,p11_4_3,p11_4_5,p11_8_1,p10_1_3,p10_1_5,pd4_10_8,p12_4_3,p12_3_1,p12_3_2
2,73,10,2,4.0,,,2,2,,,,2,2,2,1,3,5
2,40,8,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,49,6,3,1.0,,,2,2,2.0,2.0,,1,1,3,3,4,4
2,27,6,3,1.0,,,2,2,,,,1,2,1,1,4,4
2,69,7,1,,,,2,2,,,,1,1,1,3,4,5
2,70,8,5,,,,2,2,,,,2,2,1,1,2,5
2,42,3,3,,,,2,2,2.0,1.0,,2,2,1,3,4,5
2,66,2,3,1.0,,,2,2,2.0,2.0,,2,2,2,3,4,4
2,16,3,3,,,,2,2,,,,2,1,2,1,2,2
2,63,8,4,,,,2,2,2.0,2.0,,2,2,1,1,1,5
1,49,3,3,1.0,,,2,2,2.0,2.0,,1,2,1,1,3,3
1,81,2,3,,,,2,2,,,,2,2,1,1,4,5
2,39,8,5,1.0,,,2,2,2.0,2.0,,2,1,1,1,4,2
2,70,2,6,,,,2,2,,,,2,2,1,2,4,5
2,60,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,1,1
2,72,2,6,5.0,,,2,2,,,,2,2,1,1,2,5
2,49,2,6,1.0,,,2,2,,,,1,1,1,1,4,4
2,62,2,3,,,,2,2,,,,2,2,1,1,4,5
2,56,3,3,4.0,,,2,2,2.0,2.0,,1,2,1,1,4,3
2,37,6,3,1.0,,,2,2,2.0,2.0,,2,1,1,2,2,1
2,73,2,2,,,,2,2,,,,2,2,1,1,4,5
2,18,6,3,,2.0,,2,2,,,,2,1,1,1,3,3
1,31,2,5,1.0,,,2,2,2.0,2.0,,1,1,3,4,3,3
2,79,0,0,5.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,43,8,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,20,6,2,5.0,,,2,2,,,,2,2,1,1,3,3
2,77,2,4,5.0,,,2,2,,,2.0,1,1,1,2,4,5
2,19,3,3,1.0,,,2,2,3.0,2.0,,2,2,1,1,2,3
2,75,0,0,,,,2,2,,,,2,2,1,3,4,4
2,46,2,6,5.0,2.0,,2,2,2.0,2.0,,1,1,2,1,1,1
2,51,8,5,1.0,,,2,2,2.0,2.0,,2,2,1,2,4,1
2,26,6,2,1.0,,,2,2,2.0,2.0,,2,2,1,1,1,4
1,75,2,6,,,,2,2,,,,2,2,2,1,3,5
1,29,8,4,1.0,,,2,2,3.0,2.0,,1,1,1,2,2,2
2,55,3,3,1.0,,,2,2,,,,2,2,1,2,4,4
1,35,8,2,1.0,,,2,2,1.0,2.0,2.0,1,1,1,1,3,3
2,42,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,2,4,4
2,44,8,4,1.0,,,2,2,2.0,2.0,,1,1,1,1,3,4
2,37,6,3,5.0,,,2,2,,,2.0,2,2,1,3,4,4
2,16,3,3,,,,2,2,,,,2,2,1,1,4,2
2,74,0,0,5.0,,,2,2,,,2.0,2,2,1,1,3,4
2,27,3,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,4
2,19,6,2,,,,2,2,2.0,2.0,,1,2,1,2,2,2
