nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves,,,
Número de folio,7,C,folio,,0100019...3260794,,,
Número de vivienda seleccionada,2,C,viv_sel,,01...37,,,
Número de hogar en la vivienda,1,C,hogar,,1...5,,,
Número de renglón de la persona elegida,2,C,n_ren,,01...14,,,
Pregunta P4.1 ¿Cuántos años cumplidos tiene? - VERIFICACIÓN DE LA EDAD,2,C,p4_1,p4_1,"15...96,98",,,
"Pregunta P4.2 ¿Actualmente, usted...?",1,C,p4_2,p4_2,1...6,,,
Pregunta P4.3 ¿Su actual pareja vive con usted?,1,C,p4_3,p4_3,"1,2",,,
Pregunta P4.3A ¿Quién es?,2,C,p4_3a,,01...17,,,
"Pregunta P4.4 Por sus antepasados y de acuerdo con sus costumbres y tradiciones, ¿usted se considera afromexicana(o), negra(o) o afrodescendiente?",1,C,p4_4,p4_4,"1,2",,,
"Pregunta P4.5 ¿Se considera afromexicana(o), negra(o) o afrodescendiente...?",1,C,p4_5,p4_5,1...5,,,
Pregunta P4.6 ¿Usted habla algún dialecto o lengua indígena?,1,C,p4_6,p4_6,"1,2",,,
"Pregunta P4.7 Por sus costumbres y tradiciones, ¿usted se considera indígena?",1,C,p4_7,p4_7,"1,2,9",,,
Pregunta P4.8 ¿Se considera indígena...?,1,C,p4_8,p4_8,1...5,,,
Pregunta P4.9C ¿Cuál es su religión?,6,C,p4_9c,,110101...999999,,,
"Pregunta PD4.10.1 En su vida diaria, ¿cuánta dificultad tiene para caminar, subir o bajar usando sus piernas?",1,C,pd4_10_1,pd4_10_1,1...4,,,
"Pregunta PD4.10.2 En su vida diaria, ¿cuánta dificultad tiene para ver (aunque use lentes)?",1,C,pd4_10_2,pd4_10_2,1...4,,,
"Pregunta PD4.10.3 En su vida diaria, ¿cuánta dificultad tiene para mover o usar brazos o manos?",1,C,pd4_10_3,pd4_10_3,1...4,,,
"Pregunta PD4.10.4 En su vida diaria, ¿cuánta dificultad tiene para aprender, recordar o concentrarse?",1,C,pd4_10_4,pd4_10_4,1...4,,,
